Year,Year ending,Police Region,Local Government Area, Offence Count ," Rate per 100,000 population "
2024,December,4 Western, Loddon, 502 ," 6,473.2 "
2024,December,4 Western, Macedon Ranges," 2,587 "," 4,814.1 "
2024,December,4 Western, Mildura," 8,590 "," 14,906.5 "
2024,December,4 Western, Moorabool," 2,590 "," 6,505.2 "
2024,December,4 Western, Mount Alexander," 1,265 "," 6,082.0 "
2024,December,4 Western, Moyne, 718 ," 4,052.6 "
2024,December,4 Western, Northern Grampians," 1,270 "," 10,755.4 "
2024,December,4 Western, Pyrenees, 471 ," 5,918.6 "
2024,December,4 Western, Queenscliffe, 87 ," 2,634.8 "
2024,December,4 Western, Southern Grampians," 1,700 "," 10,287.4 "
2024,December,4 Western, Surf Coast," 1,290 "," 3,230.8 "
2024,December,4 Western, Swan Hill," 2,034 "," 9,642.6 "
2024,December,4 Western, Warrnambool," 3,640 "," 10,069.2 "
2024,December,4 Western, West Wimmera, 233 ," 5,954.5 "
2024,December,4 Western, Yarriambiack, 661 ," 10,416.0 "
2024,December,4 Western,Total," 97,377 "," 8,950.5 "
2024,December,Justice Institutions and Immigration Facilities, Justice Institutions and Immigration Facilities," 2,222 ",  
2024,December,Justice Institutions and Immigration Facilities,Total," 2,222 ",  
2024,December,Unincorporated Vic, Unincorporated Vic, 101 ,  
2024,December,Unincorporated Vic,Total, 101 ,  
2023,December,1 North West Metro, Banyule," 8,063 "," 6,221.1 "
2023,December,1 North West Metro, Brimbank," 17,038 "," 8,690.2 "
2023,December,1 North West Metro, Darebin," 13,680 "," 8,785.4 "
2023,December,1 North West Metro, Hobsons Bay," 5,713 "," 6,094.5 "
2023,December,1 North West Metro, Hume," 18,312 "," 6,969.6 "
2023,December,1 North West Metro, Maribyrnong," 9,734 "," 10,606.3 "
2023,December,1 North West Metro, Melbourne," 37,719 "," 21,216.1 "
2023,December,1 North West Metro, Melton," 12,762 "," 6,194.5 "
2023,December,1 North West Metro, Merri-bek," 12,749 "," 7,033.3 "
2023,December,1 North West Metro, Moonee Valley," 8,040 "," 6,355.8 "
2023,December,1 North West Metro, Nillumbik," 1,786 "," 2,823.3 "
2023,December,1 North West Metro, Whittlesea," 13,224 "," 5,397.3 "
2023,December,1 North West Metro, Wyndham," 18,627 "," 5,748.0 "
2023,December,1 North West Metro, Yarra," 12,857 "," 13,186.0 "
2023,December,1 North West Metro,Total," 190,304 "," 8,094.4 "
2023,December,2 Eastern, Alpine, 521 ," 3,952.7 "
2023,December,2 Eastern, Bass Coast," 2,950 "," 6,904.0 "
2023,December,2 Eastern, Baw Baw," 4,506 "," 7,431.2 "
2023,December,2 Eastern, Benalla," 1,518 "," 10,448.1 "
2023,December,2 Eastern, Boroondara," 7,869 "," 4,506.0 "
2023,December,2 Eastern, East Gippsland," 5,271 "," 10,718.6 "
2023,December,2 Eastern, Greater Shepparton," 8,490 "," 12,280.7 "
2023,December,2 Eastern, Indigo, 647 ," 3,663.6 "
2023,December,2 Eastern, Knox," 10,150 "," 6,274.5 "
2023,December,2 Eastern, Latrobe," 11,826 "," 15,133.0 "
2023,December,2 Eastern, Manningham," 4,802 "," 3,706.9 "
2023,December,2 Eastern, Mansfield, 603 ," 5,717.8 "
2023,December,2 Eastern, Maroondah," 7,668 "," 6,529.7 "
2023,December,2 Eastern, Mitchell," 4,150 "," 7,726.4 "
2023,December,2 Eastern, Moira," 2,574 "," 8,365.0 "
2023,December,2 Eastern, Monash," 13,599 "," 6,676.4 "
2023,December,2 Eastern, Murrindindi, 826 ," 5,335.2 "
2023,December,2 Eastern, South Gippsland," 2,258 "," 7,325.9 "
2023,December,2 Eastern, Strathbogie, 529 ," 4,568.6 "
2023,December,2 Eastern, Towong, 282 ," 4,517.1 "
2023,December,2 Eastern, Wangaratta," 2,717 "," 9,056.7 "
2023,December,2 Eastern, Wellington," 4,677 "," 10,140.9 "
2023,December,2 Eastern, Whitehorse," 9,909 "," 5,544.6 "
2023,December,2 Eastern, Wodonga," 4,370 "," 9,871.5 "
2023,December,2 Eastern, Yarra Ranges," 7,114 "," 4,483.5 "
2023,December,2 Eastern,Total," 119,826 "," 6,850.4 "
2023,December,3 Southern Metro, Bayside," 5,587 "," 5,356.3 "
2023,December,3 Southern Metro, Cardinia," 7,118 "," 5,607.7 "
2023,December,3 Southern Metro, Casey," 23,394 "," 5,966.9 "
2023,December,3 Southern Metro, Frankston," 14,961 "," 10,476.3 "
2023,December,3 Southern Metro, Glen Eira," 7,670 "," 4,888.6 "
2023,December,3 Southern Metro, Greater Dandenong," 18,788 "," 11,468.4 "
2023,December,3 Southern Metro, Kingston," 12,587 "," 7,687.4 "
2023,December,3 Southern Metro, Mornington Peninsula," 9,915 "," 5,824.0 "
2023,December,3 Southern Metro, Port Phillip," 12,713 "," 11,601.0 "
2023,December,3 Southern Metro, Stonnington," 11,220 "," 10,070.4 "
2023,December,3 Southern Metro,Total," 123,953 "," 7,549.8 "
2023,December,4 Western, Ararat," 1,409 "," 12,060.3 "
2023,December,4 Western, Ballarat," 11,704 "," 9,908.1 "
2023,December,4 Western, Buloke, 429 ," 7,103.8 "
2023,December,4 Western, Campaspe," 3,923 "," 10,243.9 "
2023,December,4 Western, Central Goldfields," 1,201 "," 8,847.8 "
2023,December,4 Western, Colac-Otway," 1,472 "," 6,609.2 "
2023,December,4 Western, Corangamite, 727 ," 4,558.9 "
2023,December,4 Western, Gannawarra, 993 ," 9,530.7 "
2023,December,4 Western, Glenelg," 1,638 "," 8,181.4 "
2023,December,4 Western, Golden Plains, 731 ," 2,832.0 "
2023,December,4 Western, Greater Bendigo," 11,280 "," 9,085.1 "
2023,December,4 Western, Greater Geelong," 22,653 "," 8,010.6 "
2023,December,4 Western, Hepburn, 711 ," 4,265.1 "
2023,December,4 Western, Hindmarsh, 310 ," 5,576.5 "
2023,December,4 Western, Horsham," 2,757 "," 13,573.3 "
2023,December,4 Western, Loddon, 447 ," 5,770.0 "
2023,December,4 Western, Macedon Ranges," 2,124 "," 4,014.0 "
2023,December,4 Western, Mildura," 8,043 "," 13,974.9 "
2023,December,4 Western, Moorabool," 2,588 "," 6,621.6 "
2023,December,4 Western, Mount Alexander," 1,097 "," 5,331.7 "
2023,December,4 Western, Moyne, 625 ," 3,549.5 "
2023,December,4 Western, Northern Grampians," 1,078 "," 9,075.6 "
2023,December,4 Western, Pyrenees, 364 ," 4,675.7 "
2023,December,4 Western, Queenscliffe, 93 ," 2,872.1 "
