lga_name,year,offence_count
 Baw Baw,2023,4506.0
 Benalla,2023,1518.0
 Boroondara,2023,7869.0
 East Gippsland,2023,5271.0
 Greater Shepparton,2023,8490.0
 Indigo,2023,647.0
 Knox,2023,10150.0
 Latrobe,2023,11826.0
 Manningham,2023,4802.0
 Mansfield,2023,603.0
 Maroondah,2023,7668.0
 Mitchell,2023,4150.0
 Moira,2023,2574.0
 Monash,2023,13599.0
 Murrindindi,2023,826.0
 South Gippsland,2023,2258.0
 Strathbogie,2023,529.0
 Towong,2023,282.0
 Wangaratta,2023,2717.0
 Wellington,2023,4677.0
 Whitehorse,2023,9909.0
 Wodonga,2023,4370.0
 Yarra Ranges,2023,7114.0
 Bayside,2023,5587.0
 Cardinia,2023,7118.0
 Casey,2023,23394.0
 Frankston,2023,14961.0
 Glen Eira,2023,7670.0
 Greater Dandenong,2023,18788.0
 Kingston,2023,12587.0
 Mornington Peninsula,2023,9915.0
 Port Phillip,2023,12713.0
 Stonnington,2023,11220.0
 Ararat,2023,1409.0
 Ballarat,2023,11704.0
 Buloke,2023,429.0
 Campaspe,2023,3923.0
 Central Goldfields,2023,1201.0
 Colac-Otway,2023,1472.0
 Corangamite,2023,727.0
 Gannawarra,2023,993.0
 Glenelg,2023,1638.0
 Golden Plains,2023,731.0
 Greater Bendigo,2023,11280.0
 Greater Geelong,2023,22653.0
 Hepburn,2023,711.0
 Hindmarsh,2023,310.0
 Horsham,2023,2757.0
 Loddon,2023,447.0
 Macedon Ranges,2023,2124.0
 Mildura,2023,8043.0
 Moorabool,2023,2588.0
 Mount Alexander,2023,1097.0
 Moyne,2023,625.0
 Northern Grampians,2023,1078.0
 Pyrenees,2023,364.0
 Queenscliffe,2023,93.0
 Southern Grampians,2023,1226.0
 Surf Coast,2023,1205.0
 Swan Hill,2023,2220.0
 Warrnambool,2023,3174.0
 West Wimmera,2023,184.0
 Yarriambiack,2023,414.0
 Justice Institutions and Immigration Facilities,2023,2163.0
 Unincorporated Vic,2023,146.0
 Banyule,2022,7667.0
 Brimbank,2022,16719.0
 Darebin,2022,12640.0
 Hobsons Bay,2022,5940.0
 Hume,2022,18186.0
 Maribyrnong,2022,8671.0
 Melbourne,2022,34514.0
 Melton,2022,11972.0
 Merri-bek,2022,11923.0
 Moonee Valley,2022,7572.0
 Nillumbik,2022,1604.0
 Whittlesea,2022,12482.0
 Wyndham,2022,17708.0
 Yarra,2022,12877.0
 Alpine,2022,459.0
 Bass Coast,2022,2828.0
 Baw Baw,2022,4146.0
 Benalla,2022,1324.0
 Boroondara,2022,7091.0
 East Gippsland,2022,4881.0
 Greater Shepparton,2022,8918.0
 Indigo,2022,730.0
 Knox,2022,9130.0
 Latrobe,2022,11173.0
 Manningham,2022,3807.0
 Mansfield,2022,383.0
 Maroondah,2022,7520.0
 Mitchell,2022,3876.0
 Moira,2022,2046.0
 Monash,2022,11793.0
 Murrindindi,2022,749.0
 South Gippsland,2022,1923.0
 Strathbogie,2022,602.0
 Towong,2022,159.0
 Wangaratta,2022,2448.0
 Wellington,2022,4485.0
 Whitehorse,2022,7934.0
 Wodonga,2022,3632.0
 Yarra Ranges,2022,6957.0
 Bayside,2022,4946.0
 Cardinia,2022,6155.0
 Casey,2022,20890.0
 Frankston,2022,12734.0
 Glen Eira,2022,6918.0
 Greater Dandenong,2022,17039.0
 Kingston,2022,10707.0
 Mornington Peninsula,2022,9294.0
 Port Phillip,2022,12589.0
 Stonnington,2022,11352.0
 Ararat,2022,1341.0
 Ballarat,2022,10952.0
 Buloke,2022,289.0
 Campaspe,2022,3337.0
 Central Goldfields,2022,1174.0
 Colac-Otway,2022,1550.0
 Corangamite,2022,682.0
 Gannawarra,2022,803.0
 Glenelg,2022,1650.0
 Golden Plains,2022,599.0
 Greater Bendigo,2022,10458.0
 Greater Geelong,2022,19884.0
 Hepburn,2022,621.0
 Hindmarsh,2022,265.0
 Horsham,2022,2384.0
 Loddon,2022,455.0
 Macedon Ranges,2022,2026.0
 Mildura,2022,7363.0
 Moorabool,2022,2019.0
 Mount Alexander,2022,922.0
 Moyne,2022,662.0
 Northern Grampians,2022,984.0
 Pyrenees,2022,372.0
 Queenscliffe,2022,109.0
 Southern Grampians,2022,1257.0
 Surf Coast,2022,1057.0
 Swan Hill,2022,2074.0
 Warrnambool,2022,2928.0
 West Wimmera,2022,117.0
 Yarriambiack,2022,452.0
 Justice Institutions and Immigration Facilities,2022,2053.0
 Unincorporated Vic,2022,108.0
 Banyule,2021,7350.0
 Brimbank,2021,16983.0
 Darebin,2021,12625.0
 Hobsons Bay,2021,5826.0
 Hume,2021,17875.0
 Maribyrnong,2021,8613.0
 Melbourne,2021,33625.0
 Melton,2021,12080.0
 Merri-bek,2021,11635.0
 Moonee Valley,2021,7887.0
 Nillumbik,2021,2203.0
 Whittlesea,2021,13146.0
 Wyndham,2021,15962.0
 Yarra,2021,12147.0
 Alpine,2021,552.0
 Bass Coast,2021,3144.0
 Baw Baw,2021,4467.0
 Benalla,2021,1420.0
 Boroondara,2021,7468.0
 East Gippsland,2021,4920.0
 Greater Shepparton,2021,9103.0
 Indigo,2021,612.0
 Knox,2021,10028.0
 Latrobe,2021,11297.0
 Manningham,2021,4001.0
 Mansfield,2021,487.0
 Maroondah,2021,7455.0
 Mitchell,2021,3687.0
 Moira,2021,2347.0
 Monash,2021,11462.0
 Murrindindi,2021,808.0
 South Gippsland,2021,1703.0
 Strathbogie,2021,637.0
 Towong,2021,194.0
 Wangaratta,2021,2339.0
 Wellington,2021,4384.0
 Whitehorse,2021,7609.0
 Wodonga,2021,3439.0
 Yarra Ranges,2021,7609.0
 Bayside,2021,4280.0
 Cardinia,2021,6419.0
 Casey,2021,19791.0
 Frankston,2021,11741.0
 Glen Eira,2021,6837.0
 Greater Dandenong,2021,16542.0
 Kingston,2021,9624.0
 Mornington Peninsula,2021,9008.0
 Port Phillip,2021,12351.0
 Stonnington,2021,10608.0
 Ararat,2021,1592.0
 Ballarat,2021,10121.0
 Buloke,2021,285.0
 Campaspe,2021,3285.0
 Central Goldfields,2021,1082.0
 Colac-Otway,2021,1551.0
 Corangamite,2021,868.0
 Gannawarra,2021,792.0
 Glenelg,2021,1756.0
 Golden Plains,2021,609.0
 Greater Bendigo,2021,10465.0
 Greater Geelong,2021,20010.0
 Hepburn,2021,556.0
 Hindmarsh,2021,452.0
 Horsham,2021,2420.0
 Loddon,2021,538.0
 Macedon Ranges,2021,2001.0
 Mildura,2021,6591.0
 Moorabool,2021,2120.0
 Mount Alexander,2021,930.0
 Moyne,2021,706.0
 Northern Grampians,2021,1093.0
 Pyrenees,2021,455.0
 Queenscliffe,2021,87.0
 Southern Grampians,2021,1035.0
 Surf Coast,2021,1355.0
 Swan Hill,2021,2482.0
 Warrnambool,2021,3125.0
 West Wimmera,2021,214.0
 Yarriambiack,2021,375.0
 Justice Institutions and Immigration Facilities,2021,2208.0
 Unincorporated Vic,2021,87.0
 Banyule,2020,9466.0
 Brimbank,2020,20219.0
 Darebin,2020,15716.0
 Hobsons Bay,2020,5831.0
 Hume,2020,21965.0
 Maribyrnong,2020,9158.0
 Melbourne,2020,36451.0
 Melton,2020,14343.0
 Merri-bek,2020,13782.0
 Moonee Valley,2020,8416.0
 Nillumbik,2020,2287.0
 Whittlesea,2020,16795.0
 Wyndham,2020,18258.0
 Yarra,2020,14223.0
 Alpine,2020,582.0
 Bass Coast,2020,2899.0
 Baw Baw,2020,5090.0
 Benalla,2020,1408.0
 Boroondara,2020,8025.0
 East Gippsland,2020,5145.0
 Greater Shepparton,2020,9152.0
 Indigo,2020,576.0
 Knox,2020,11980.0
 Latrobe,2020,13605.0
 Manningham,2020,4814.0
 Mansfield,2020,512.0
 Maroondah,2020,8010.0
 Mitchell,2020,5334.0
 Moira,2020,2270.0
 Monash,2020,12772.0
 Murrindindi,2020,896.0
 South Gippsland,2020,1745.0
 Strathbogie,2020,615.0
 Towong,2020,218.0
 Wangaratta,2020,3083.0
 Wellington,2020,4851.0
 Whitehorse,2020,9360.0
 Wodonga,2020,3566.0
 Yarra Ranges,2020,8760.0
 Bayside,2020,5553.0
 Cardinia,2020,7590.0
 Casey,2020,23214.0
 Frankston,2020,14781.0
 Glen Eira,2020,7851.0
 Greater Dandenong,2020,19340.0
 Kingston,2020,11651.0
 Mornington Peninsula,2020,11308.0
 Port Phillip,2020,13579.0
 Stonnington,2020,11638.0
 Ararat,2020,1560.0
 Ballarat,2020,9748.0
 Buloke,2020,498.0
 Campaspe,2020,3781.0
 Central Goldfields,2020,1162.0
 Colac-Otway,2020,1810.0
 Corangamite,2020,865.0
 Gannawarra,2020,961.0
 Glenelg,2020,1679.0
 Golden Plains,2020,590.0
 Greater Bendigo,2020,11063.0
 Greater Geelong,2020,22963.0
 Hepburn,2020,712.0
 Hindmarsh,2020,590.0
 Horsham,2020,2477.0
 Loddon,2020,532.0
 Macedon Ranges,2020,2722.0
 Mildura,2020,6570.0
 Moorabool,2020,2686.0
 Mount Alexander,2020,959.0
 Moyne,2020,675.0
 Northern Grampians,2020,1192.0
 Pyrenees,2020,515.0
 Queenscliffe,2020,122.0
 Southern Grampians,2020,1159.0
 Surf Coast,2020,1510.0
 Swan Hill,2020,2491.0
 Warrnambool,2020,3334.0
 West Wimmera,2020,169.0
 Yarriambiack,2020,505.0
 Justice Institutions and Immigration Facilities,2020,3017.0
 Unincorporated Vic,2020,54.0
 Banyule,2019,9518.0
 Brimbank,2019,19778.0
 Darebin,2019,14530.0
 Hobsons Bay,2019,6224.0
 Hume,2019,21389.0
 Maribyrnong,2019,8923.0
 Melbourne,2019,36336.0
 Melton,2019,12591.0
 Merri-bek,2019,14360.0
 Moonee Valley,2019,8294.0
 Nillumbik,2019,2233.0
 Whittlesea,2019,16489.0
 Wyndham,2019,16770.0
 Yarra,2019,13489.0
 Alpine,2019,571.0
 Bass Coast,2019,2500.0
 Baw Baw,2019,4766.0
 Benalla,2019,1308.0
 Boroondara,2019,8145.0
 East Gippsland,2019,4895.0
 Greater Shepparton,2019,8839.0
 Indigo,2019,600.0
 Knox,2019,11898.0
 Latrobe,2019,13991.0
 Manningham,2019,5129.0
 Mansfield,2019,471.0
 Maroondah,2019,8176.0
 Mitchell,2019,4820.0
 Moira,2019,2540.0
 Monash,2019,11706.0
 Murrindindi,2019,810.0
 South Gippsland,2019,1726.0
 Strathbogie,2019,628.0
 Towong,2019,214.0
 Wangaratta,2019,2519.0
 Wellington,2019,4590.0
 Whitehorse,2019,9212.0
 Wodonga,2019,3745.0
 Yarra Ranges,2019,9172.0
 Bayside,2019,5071.0
 Cardinia,2019,6634.0
 Casey,2019,22547.0
 Frankston,2019,14921.0
 Glen Eira,2019,7384.0
 Greater Dandenong,2019,18891.0
 Kingston,2019,12139.0
 Mornington Peninsula,2019,11210.0
 Port Phillip,2019,12558.0
 Stonnington,2019,11746.0
 Ararat,2019,1262.0
 Ballarat,2019,11735.0
 Buloke,2019,300.0
 Campaspe,2019,3964.0
 Central Goldfields,2019,1411.0
 Colac-Otway,2019,1637.0
 Corangamite,2019,646.0
 Gannawarra,2019,829.0
 Glenelg,2019,1674.0
 Golden Plains,2019,648.0
 Greater Bendigo,2019,11450.0
 Greater Geelong,2019,21704.0
 Hepburn,2019,867.0
 Hindmarsh,2019,330.0
 Horsham,2019,1953.0
 Loddon,2019,476.0
 Macedon Ranges,2019,2447.0
 Mildura,2019,7424.0
 Moorabool,2019,2125.0
 Mount Alexander,2019,1230.0
 Moyne,2019,684.0
 Northern Grampians,2019,1104.0
 Pyrenees,2019,654.0
 Queenscliffe,2019,116.0
 Southern Grampians,2019,1215.0
 Surf Coast,2019,1257.0
 Swan Hill,2019,2625.0
 Warrnambool,2019,3450.0
 West Wimmera,2019,168.0
 Yarriambiack,2019,475.0
 Justice Institutions and Immigration Facilities,2019,2767.0
 Unincorporated Vic,2019,159.0
 Banyule,2018,9396.0
 Brimbank,2018,19026.0
 Darebin,2018,15244.0
 Hobsons Bay,2018,6237.0
 Hume,2018,20692.0
 Maribyrnong,2018,8461.0
 Melbourne,2018,36160.0
 Melton,2018,10672.0
 Merri-bek,2018,14544.0
 Moonee Valley,2018,8609.0
 Nillumbik,2018,2110.0
 Whittlesea,2018,15620.0
 Wyndham,2018,14456.0
 Yarra,2018,13680.0
 Alpine,2018,580.0
 Bass Coast,2018,2211.0
 Baw Baw,2018,4516.0
 Benalla,2018,1191.0
 Boroondara,2018,6958.0
 East Gippsland,2018,4507.0
 Greater Shepparton,2018,8749.0
 Indigo,2018,451.0
 Knox,2018,10793.0
 Latrobe,2018,14573.0
 Manningham,2018,4359.0
 Mansfield,2018,480.0
 Maroondah,2018,8099.0
 Mitchell,2018,4316.0
 Moira,2018,2115.0
 Monash,2018,10303.0
 Murrindindi,2018,717.0
 South Gippsland,2018,1447.0
 Strathbogie,2018,604.0
 Towong,2018,212.0
 Wangaratta,2018,2387.0
 Wellington,2018,3999.0
 Whitehorse,2018,8206.0
 Wodonga,2018,3207.0
 Yarra Ranges,2018,7660.0
 Bayside,2018,4670.0
 Cardinia,2018,6052.0
 Casey,2018,21013.0
 Frankston,2018,14887.0
 Glen Eira,2018,6507.0
 Greater Dandenong,2018,18267.0
 Kingston,2018,11028.0
 Mornington Peninsula,2018,10797.0
 Port Phillip,2018,13102.0
 Stonnington,2018,10769.0
 Ararat,2018,1349.0
 Ballarat,2018,10852.0
 Buloke,2018,237.0
 Campaspe,2018,3801.0
 Central Goldfields,2018,1295.0
 Colac-Otway,2018,1595.0
 Corangamite,2018,715.0
 Gannawarra,2018,750.0
 Glenelg,2018,1343.0
 Golden Plains,2018,688.0
 Greater Bendigo,2018,10549.0
 Greater Geelong,2018,20766.0
 Hepburn,2018,740.0
 Hindmarsh,2018,352.0
 Horsham,2018,3020.0
 Loddon,2018,490.0
 Macedon Ranges,2018,2329.0
 Mildura,2018,7325.0
 Moorabool,2018,2440.0
 Mount Alexander,2018,887.0
 Moyne,2018,529.0
 Northern Grampians,2018,988.0
 Pyrenees,2018,501.0
 Queenscliffe,2018,303.0
 Southern Grampians,2018,1562.0
 Surf Coast,2018,1185.0
 Swan Hill,2018,2525.0
 Warrnambool,2018,3950.0
 West Wimmera,2018,166.0
 Yarriambiack,2018,503.0
 Justice Institutions and Immigration Facilities,2018,2832.0
 Unincorporated Vic,2018,145.0
 Banyule,2017,9637.0
 Brimbank,2017,17120.0
 Darebin,2017,14799.0
 Hobsons Bay,2017,6077.0
 Hume,2017,20195.0
 Maribyrnong,2017,8017.0
 Melbourne,2017,36464.0
 Melton,2017,10636.0
 Merri-bek,2017,12742.0
 Moonee Valley,2017,8609.0
 Nillumbik,2017,2334.0
 Whittlesea,2017,15574.0
 Wyndham,2017,14221.0
 Yarra,2017,13268.0
 Alpine,2017,454.0
 Bass Coast,2017,2574.0
 Baw Baw,2017,3761.0
 Benalla,2017,1293.0
 Boroondara,2017,7336.0
 East Gippsland,2017,3944.0
 Greater Shepparton,2017,8044.0
 Indigo,2017,490.0
 Knox,2017,11261.0
 Latrobe,2017,13318.0
 Manningham,2017,4887.0
 Mansfield,2017,664.0
 Maroondah,2017,8287.0
 Mitchell,2017,4403.0
 Moira,2017,1927.0
 Monash,2017,11089.0
 Murrindindi,2017,715.0
 South Gippsland,2017,1442.0
 Strathbogie,2017,568.0
 Towong,2017,217.0
 Wangaratta,2017,2344.0
 Wellington,2017,3665.0
 Whitehorse,2017,8290.0
 Wodonga,2017,3297.0
 Yarra Ranges,2017,8201.0
 Bayside,2017,4743.0
 Cardinia,2017,5813.0
 Casey,2017,21243.0
 Frankston,2017,14263.0
 Glen Eira,2017,6825.0
 Greater Dandenong,2017,18064.0
 Kingston,2017,10724.0
 Mornington Peninsula,2017,10893.0
 Port Phillip,2017,12511.0
 Stonnington,2017,9895.0
 Ararat,2017,1255.0
 Ballarat,2017,11556.0
 Buloke,2017,199.0
 Campaspe,2017,3378.0
 Central Goldfields,2017,1452.0
 Colac-Otway,2017,1741.0
 Corangamite,2017,1013.0
 Gannawarra,2017,569.0
 Glenelg,2017,1639.0
 Golden Plains,2017,688.0
 Greater Bendigo,2017,9703.0
 Greater Geelong,2017,22941.0
 Hepburn,2017,886.0
 Hindmarsh,2017,385.0
 Horsham,2017,2393.0
 Loddon,2017,346.0
 Macedon Ranges,2017,2115.0
 Mildura,2017,6468.0
 Moorabool,2017,2144.0
 Mount Alexander,2017,1027.0
 Moyne,2017,622.0
 Northern Grampians,2017,1055.0
 Pyrenees,2017,527.0
 Queenscliffe,2017,133.0
 Southern Grampians,2017,1277.0
 Surf Coast,2017,1165.0
 Swan Hill,2017,2412.0
 Warrnambool,2017,3474.0
 West Wimmera,2017,188.0
 Yarriambiack,2017,478.0
 Justice Institutions and Immigration Facilities,2017,2548.0
 Unincorporated Vic,2017,137.0
 Banyule,2016,10050.0
 Brimbank,2016,19127.0
 Darebin,2016,16853.0
 Hobsons Bay,2016,6701.0
 Hume,2016,23638.0
 Maribyrnong,2016,9141.0
 Melbourne,2016,37852.0
 Melton,2016,12047.0
 Merri-bek,2016,14864.0
 Moonee Valley,2016,9635.0
 Nillumbik,2016,3189.0
 Whittlesea,2016,16656.0
 Wyndham,2016,15373.0
 Yarra,2016,14003.0
 Alpine,2016,387.0
 Bass Coast,2016,2948.0
 Baw Baw,2016,4132.0
 Benalla,2016,1605.0
 Boroondara,2016,8420.0
 East Gippsland,2016,4152.0
 Greater Shepparton,2016,8391.0
 Indigo,2016,395.0
 Knox,2016,12125.0
 Latrobe,2016,14479.0
 Manningham,2016,5002.0
 Mansfield,2016,618.0
 Maroondah,2016,9203.0
 Mitchell,2016,4713.0
 Moira,2016,1944.0
 Monash,2016,12512.0
 Murrindindi,2016,714.0
 South Gippsland,2016,1507.0
 Strathbogie,2016,676.0
 Towong,2016,245.0
 Wangaratta,2016,2594.0
 Wellington,2016,4747.0
 Whitehorse,2016,7983.0
 Wodonga,2016,3311.0
 Yarra Ranges,2016,8905.0
 Bayside,2016,5374.0
 Cardinia,2016,7227.0
 Casey,2016,24083.0
 Frankston,2016,16903.0
 Glen Eira,2016,7480.0
 Greater Dandenong,2016,20609.0
 Kingston,2016,11592.0
 Mornington Peninsula,2016,12005.0
 Port Phillip,2016,13623.0
 Stonnington,2016,11613.0
 Ararat,2016,1177.0
 Ballarat,2016,12076.0
 Buloke,2016,230.0
 Campaspe,2016,3851.0
 Central Goldfields,2016,1508.0
 Colac-Otway,2016,1994.0
 Corangamite,2016,958.0
 Gannawarra,2016,612.0
 Glenelg,2016,1673.0
 Golden Plains,2016,866.0
 Greater Bendigo,2016,10851.0
 Greater Geelong,2016,22959.0
 Hepburn,2016,917.0
 Hindmarsh,2016,370.0
 Horsham,2016,2824.0
 Loddon,2016,476.0
 Macedon Ranges,2016,2444.0
 Mildura,2016,6517.0
 Moorabool,2016,2529.0
 Mount Alexander,2016,1257.0
 Moyne,2016,648.0
 Northern Grampians,2016,1346.0
 Pyrenees,2016,561.0
 Queenscliffe,2016,143.0
 Southern Grampians,2016,1350.0
 Surf Coast,2016,1351.0
 Swan Hill,2016,2224.0
 Warrnambool,2016,3235.0
 West Wimmera,2016,187.0
 Yarriambiack,2016,440.0
 Justice Institutions and Immigration Facilities,2016,1682.0
 Unincorporated Vic,2016,144.0
